assists,back_passes,blocked_passes,blocked_shots,clearances,crosses,diagonal_passes,dribbles,fouls,foulsconceded,goals,id,interceptions,key_passes,lateral_passes,long_passes,minutesPlayed,name,offsides,passes,position,possession_time,red_cards,saves,season,short_passes,shots,shots_on_target,succ_long_passes,succ_passes,succ_short_passes,tackles,through_passes,touches,yellow_cards
0,0,0,0,0,0,3,0,0,1,0,1299,0,0,0,2,90,张鹭,0,5,门将,214,0,4,2014,3,0,0,1,4,3,0,2,2,0
0,0,0,0,1,0,9,0,0,0,0,1035,0,0,0,3,90,王大雷,0,10,门将,95,0,1,2014,7,0,0,1,8,7,0,1,8,0
0,2,0,0,1,0,26,0,0,3,0,1039,2,0,11,5,90,麦克格文,0,41,后卫,139,0,0,2014,36,0,0,2,34,32,2,2,29,0
0,0,2,0,5,0,4,0,1,0,0,1304,2,0,0,1,50,杨善平,0,8,后卫,32,0,0,2014,7,0,0,0,6,6,0,4,3,0
0,1,3,0,3,1,8,0,2,0,0,1305,1,0,0,1,57,郑涛,0,14,后卫,133,0,0,2014,13,0,0,0,8,8,1,5,12,0
0,15,0,1,2,4,12,0,1,2,0,1043,3,1,8,3,90,郑铮,0,37,后卫,182,0,0,2014,34,2,0,1,31,30,2,2,31,0
0,3,0,0,3,0,9,0,1,1,0,1307,3,0,2,3,90,弋腾,0,21,后卫,110,0,0,2014,18,0,0,2,16,14,3,7,15,0
0,7,5,0,1,4,11,0,3,1,0,1308,0,0,2,2,90,王亮,0,22,后卫,84,0,0,2014,20,0,0,0,15,15,0,2,16,0
0,1,2,0,7,0,12,0,2,0,0,1311,3,0,2,4,90,王博,0,17,后卫,85,0,0,2014,13,0,0,2,9,7,3,2,6,0
0,5,0,0,10,0,29,0,1,1,0,1044,3,0,7,4,90,戴琳,0,56,后卫,231,0,0,2014,52,0,0,1,46,45,3,15,43,1
0,16,2,0,0,7,14,0,0,4,0,1047,2,1,6,2,90,赵明剑,0,38,中场,332,0,0,2014,36,1,0,0,27,27,3,2,41,0
1,17,0,3,0,9,14,0,0,2,0,1049,1,1,10,3,84,王永珀,0,45,中场,258,0,0,2014,42,5,0,3,37,34,0,4,33,0
0,11,0,0,1,0,8,0,4,0,0,1315,0,0,4,1,90,张野,0,27,中场,102,0,0,2014,26,1,0,0,21,21,0,4,15,0
0,8,0,0,0,0,17,0,1,3,0,1318,1,0,6,3,90,比利·塞莱斯基,0,36,中场,107,0,0,2014,33,0,0,2,25,23,1,5,23,0
0,14,1,1,0,0,24,0,0,1,0,1051,2,0,6,1,90,乌索,0,51,中场,155,0,0,2014,50,2,0,1,45,44,2,7,43,0
0,4,2,0,0,0,4,0,1,0,0,1322,0,0,2,0,66,金泰延,0,15,中场,37,0,0,2014,15,0,0,0,11,11,3,5,8,1
0,0,0,0,0,0,4,0,0,0,0,1137,1,0,2,2,90,张翀,0,8,门将,142,0,2,2014,6,0,0,1,7,6,0,2,4,0
0,0,0,0,0,0,1,0,0,0,0,1440,0,0,0,1,90,宋振瑜,0,3,门将,216,0,5,2014,2,0,0,1,3,2,0,2,1,0
0,17,0,0,0,5,16,0,1,3,0,1059,0,2,9,0,80,蒙蒂略,0,44,中场,224,0,0,2014,44,3,1,0,39,39,1,2,40,0
0,17,0,0,1,0,37,0,0,0,0,1060,3,0,10,3,90,金敬道,0,73,中场,216,0,0,2014,70,0,0,1,65,64,2,9,54,1
0,10,2,1,0,0,23,0,3,3,1,1062,0,1,9,3,90,洛维,0,46,前锋,216,0,0,2014,43,3,2,1,34,33,1,4,39,0
0,9,0,0,0,0,8,0,0,1,0,1063,0,1,5,0,64,杨旭,1,23,前锋,63,0,0,2014,23,2,1,0,17,17,0,1,20,1
0,4,1,0,7,0,12,0,2,0,0,1442,4,0,5,2,90,王万鹏,0,23,后卫,85,0,0,2014,21,0,0,0,19,19,1,2,15,0
0,1,0,1,6,0,21,0,2,1,0,1142,4,1,6,3,90,贝克曼,0,31,后卫,109,0,0,2014,28,1,0,2,25,23,2,3,18,0
0,9,1,0,4,2,15,3,0,0,0,1015,3,0,7,1,90,李学鹏,0,38,后卫,168,0,0,2014,37,1,0,0,31,31,1,7,36,0
